start_time,java.version,java.vm.name,os.name,os.version,os.arch,max_memory,cpus
"2015-03-09T19:22Z","1.8.0_40-internal","OpenJDK 64-Bit Server VM","Linux","3.16.0-31-generic","amd64","1750597632","[Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz]"

Array.memory/Doug.TrieArray
10,10000000,4834322428
100,1000000,5558484592
1000,100000,5836152367
10000,10000,6153316656
100000,1000,6447872549
1000000,100,6986454934
10000000,100,114890575330

Array.remove/Java.ArrayList
size,repetitions,latency_ns
10,10000000,1407958984
100,1000000,1350576940
1000,100000,1329766433
10000,10000,1446953257
100000,1000,1645106638
1000000,100,1654869105
10000000,100,41040355816

Array.remove/Clojure.Vector
size,repetitions,latency_ns
10,10000000,5168584461
100,1000000,5848642101
1000,100000,5730191907
10000,10000,6078761790
100000,1000,6496572800
1000000,100,7098070197
10000000,100,112270548846

Array.update/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,1667332784
100,1000000,3935759300
1000,100000,4621802360
10000,10000,6033568435
100000,1000,7960952010
1000000,100,10953295014
10000000,100,168332757841

Array.update/Java.ArrayList
size,repetitions,latency_ns
10,10000000,537687322
100,1000000,330021568
1000,100000,390739972
10000,10000,394046938
100000,1000,389859884
1000000,100,502804616
10000000,100,38406747930

Array.update/Clojure.Vector
size,repetitions,latency_ns
10,10000000,1938290785
100,1000000,5696820980
1000,100000,5812067268
10000,10000,8371957692
100000,1000,10521968572
1000000,100,13046420719
10000000,100,222351401469

Map.memory/Doug.HashTrieMap
size,heap_bytes,measured_bytes
1,112,192
10,888,1112
100,8968,10632
1000,102440,104552
10000,1119336,1121448
100000,11552280,11554392
1000000,113371408,113373520

Map.memory/Java.HashMap
size,heap_bytes,measured_bytes
1,160,240
10,880,1104
100,9040,10704
1000,102160,104272
10000,1094904,1097016
100000,11437944,11440056
1000000,112377976,112380088

Map.memory/Java.TreeMap
size,heap_bytes,measured_bytes
1,88,168
10,880,1104
100,8800,10464
1000,101952,104064
10000,1109352,1111464
100000,11189352,11191464
1000000,111989352,111991464

Map.memory/Clojure.HashMap
size,heap_bytes,measured_bytes
1,5808,216
10,720,944
100,7336,9000
1000,102736,104848
10000,937792,939904
100000,9791416,9793528
1000000,114156592,114158704

Map.memory/Scala.HashMap
size,heap_bytes,measured_bytes
1,21752,136
10,5640,1128
100,9936,11576
1000,111368,113456
10000,1175152,1177240
100000,12259256,12261344
1000000,121863656,121865744

Map.get/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,3581624540
100,1000000,5011004319
1000,100000,5455123689
10000,10000,12943803264
100000,1000,26044000969
1000000,100,37873214954

Map.get/Java.HashMap
size,repetitions,latency_ns
10,10000000,3843572285
100,1000000,3921783656
1000,100000,4233090432
10000,10000,6858682259
100000,1000,19176179704
1000000,100,27061730648

Map.get/Java.TreeMap
size,repetitions,latency_ns
10,10000000,4378118234
100,1000000,5745936972
1000,100000,11913442958
10000,10000,15824630299
100000,1000,18280708562
1000000,100,20361459152

Map.get/Clojure.HashMap
size,repetitions,latency_ns
10,10000000,11889799515
100,1000000,12829318182
1000,100000,13946020777
10000,10000,16787594209
100000,1000,32650623994
1000000,100,48574201790

Map.get/Scala.HashMap
size,repetitions,latency_ns
10,10000000,4778474640
100,1000000,5611020643
1000,100000,7265938683
10000,10000,9838323865
100000,1000,24015737262
1000000,100,37852710850

Map.iterate/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,988345311
100,1000000,956197054
1000,100000,1019374158
10000,10000,1523223745
100000,1000,2630486470
1000000,100,2632339799
10000000,100,33825219874

Map.iterate/Java.HashMap
size,repetitions,latency_ns
10,10000000,827864115
100,1000000,804411628
1000,100000,827861652
10000,10000,1606299716
100000,1000,2012288358
1000000,100,2019712730
10000000,100,34887041627

Map.iterate/Java.TreeMap
size,repetitions,latency_ns
10,10000000,1025796870
100,1000000,833754097
1000,100000,978049979
10000,10000,1048896675
100000,1000,1554575113
1000000,100,1534460069
10000000,100,29201201896

Map.iterate/Clojure.HashMap
size,repetitions,latency_ns
10,10000000,4064167046
100,1000000,5063279869
1000,100000,6219624954
10000,10000,6196680643
100000,1000,8399696668
1000000,100,10015359971
10000000,100,91706799977

Map.iterate/Scala.HashMap
No data

Map.put/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,7893422798
100,1000000,10536094246
1000,100000,15717903427
10000,10000,24135105758
100000,1000,39572667000
1000000,100,65299738582

Map.put/Java.HashMap
size,repetitions,latency_ns
10,10000000,4722277355
100,1000000,5788040917
1000,100000,6499383828
10000,10000,9096216809
100000,1000,16648383855
1000000,100,22904393685

Map.put/Java.TreeMap
size,repetitions,latency_ns
10,10000000,5461107174
100,1000000,8344523189
1000,100000,15798561629
10000,10000,20739630723
100000,1000,24504550497
1000000,100,31926911961

Map.put/Clojure.HashMap
size,repetitions,latency_ns
10,10000000,13167589034
100,1000000,15676232621
1000,100000,25331875800
10000,10000,29573091721
100000,1000,44978766080
1000000,100,81138674035

Map.put/Scala.HashMap
