start_time,java.version,java.vm.name,os.name,os.version,os.arch,max_memory,cpus
"2015-03-06T00:08Z","1.8.0_40-internal","OpenJDK 64-Bit Server VM","Linux","3.16.0-31-generic","amd64","1750597632","[Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz]"

Array.memory/Doug.TrieArray
10,10000000,1905030924
100,1000000,5664452848
1000,100000,6211396668
10000,10000,8735082307
100000,1000,11565331688
1000000,100,14344239535
10000000,100,207440849247

Map.memory/Doug.HashTrieMap
size,heap_bytes,measured_bytes
1,112,192
10,888,1112
100,8968,10632
1000,102440,104552
10000,1119336,1121448
100000,11552280,11554392
1000000,113371408,113373520

Map.memory/Java.HashMap
size,heap_bytes,measured_bytes
1,160,240
10,880,1104
100,9040,10704
1000,102160,104272
10000,1094904,1097016
100000,11437944,11440056
1000000,112377976,112380088

Map.memory/Java.TreeMap
size,heap_bytes,measured_bytes
1,88,168
10,880,1104
100,8800,10464
1000,101952,104064
10000,1109352,1111464
100000,11189352,11191464
1000000,111989352,111991464

Map.memory/Clojure.HashMap
size,heap_bytes,measured_bytes
1,7720,216
10,720,944
100,7336,9000
1000,102736,104848
10000,937792,939904
100000,9791416,9793528
1000000,114156592,114158704

Map.memory/Scala.HashMap
size,heap_bytes,measured_bytes
1,41240,136
10,7504,1128
100,9936,11576
1000,111368,113456
10000,1175152,1177240
100000,12259256,12261344
1000000,121863656,121865744

Map.get/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,3592842604
100,1000000,4286200738
1000,100000,4888245372
10000,10000,9105626372
100000,1000,20472592915
1000000,100,35416305679

Map.get/Java.HashMap
size,repetitions,latency_ns
10,10000000,3836833273
100,1000000,4046367335
1000,100000,4185475569
10000,10000,7462433534
100000,1000,17351981458
1000000,100,26651558824

Map.get/Java.TreeMap
size,repetitions,latency_ns
10,10000000,4301105680
100,1000000,5918412916
1000,100000,10988512917
10000,10000,14434592517
100000,1000,17279899897
1000000,100,20028267601

Map.get/Clojure.HashMap
size,repetitions,latency_ns
10,10000000,11940479617
100,1000000,12815972046
1000,100000,13671036816
10000,10000,15803081350
100000,1000,27593528049
1000000,100,44800733986

Map.get/Scala.HashMap
size,repetitions,latency_ns
10,10000000,4614132468
100,1000000,5625884362
1000,100000,6893395400
10000,10000,8018374034
100000,1000,19995523568
1000000,100,34071363820

Map.iterate/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,940259807
100,1000000,955205261
1000,100000,995859923
10000,10000,1437078307
100000,1000,2280020041
1000000,100,2398624541
10000000,100,33936861925

Map.iterate/Java.HashMap
size,repetitions,latency_ns
10,10000000,768758738
100,1000000,719734766
1000,100000,718712283
10000,10000,1496721519
100000,1000,1933239756
1000000,100,1937548533
10000000,100,33220971060

Map.iterate/Java.TreeMap
size,repetitions,latency_ns
10,10000000,1024126382
100,1000000,865315196
1000,100000,965572911
10000,10000,1069468764
100000,1000,1411800521
1000000,100,1482298247
10000000,100,26393585835

Map.iterate/Clojure.HashMap
size,repetitions,latency_ns
10,10000000,3711665366
100,1000000,4672994530
1000,100000,5816110950
10000,10000,5657270067
100000,1000,7976901021
1000000,100,9898728917
10000000,100,88021913534

Map.iterate/Scala.HashMap
No data

Map.put/Doug.HashTrieMap
size,repetitions,latency_ns
10,10000000,7609383451
100,1000000,10232178158
1000,100000,14720744707
10000,10000,22367405512
100000,1000,36155444311
1000000,100,57368393982

Map.put/Java.HashMap
size,repetitions,latency_ns
10,10000000,5065768418
100,1000000,6159667825
1000,100000,6398502023
10000,10000,8629030969
100000,1000,15118219426
1000000,100,20858241008

Map.put/Java.TreeMap
size,repetitions,latency_ns
10,10000000,5312724627
100,1000000,8031895963
1000,100000,15300381205
10000,10000,20457077458
100000,1000,24261277922
1000000,100,29444930466

Map.put/Clojure.HashMap
